id,title,year,country,runtime,language,certificate,budget,revenue,avg_rating,vote_count,target,cast_count
1,Intolerance: Love's Struggle Throughout the Ages,1916,USA,123,,Not Rated,0.0,385907.0,8.0,10718,1,3.0
2,Over the Hill to the Poorhouse,1920,USA,110,,,3000000.0,100000.0,4.80000019,5,0,3.0
3,The Big Parade,1925,USA,151,,Not Rated,0.0,245000.0,8.30000019,4849,1,3.0
4,Metropolis,1927,Germany,145,German,Not Rated,26435.0,6000000.0,8.30000019,111841,1,3.0
5,Pandora's Box,1929,Germany,110,German,Not Rated,9950.0,0.0,8.0,7431,1,3.0
6,The Broadway Melody,1929,USA,100,English,Passed,2808000.0,379000.0,6.30000019,4546,0,3.0
7,Hell's Angels,1930,USA,96,English,Passed,0.0,3950000.0,7.80000019,3753,1,3.0
8,A Farewell to Arms,1932,USA,79,English,Unrated,0.0,800000.0,6.5999999,3519,0,3.0
9,42nd Street,1933,USA,89,English,Unrated,2300000.0,439000.0,7.69999981,7921,1,3.0
10,She Done Him Wrong,1933,USA,66,English,Approved,0.0,200000.0,6.5,4152,0,3.0
11,It Happened One Night,1934,USA,65,English,Unrated,0.0,325000.0,8.19999981,64888,1,3.0
12,Top Hat,1935,USA,81,English,Approved,3000000.0,609000.0,7.80000019,13269,1,3.0
13,Modern Times,1936,USA,87,English,G,163245.0,1500000.0,8.60000038,143086,1,3.0
14,The Charge of the Light Brigade,1936,USA,100,English,Approved,0.0,1200000.0,7.0999999,3418,1,3.0
15,Snow White and the Seven Dwarfs,1937,USA,83,English,Approved,184925485.0,2000000.0,7.69999981,133348,1,3.0
16,The Prisoner of Zenda,1937,USA,101,English,Approved,0.0,0.0,7.80000019,3256,1,3.0
17,Alexander's Ragtime Band,1938,USA,106,English,Approved,0.0,2000000.0,7.0,1381,1,3.0
18,You Can't Take It with You,1938,USA,126,English,Approved,0.0,1644736.0,8.0,17799,1,3.0
19,Gone with the Wind,1939,USA,226,English,G,198655278.0,3977000.0,8.19999981,215340,1,3.0
20,Mr. Smith Goes to Washington,1939,USA,120,English,Not Rated,0.0,1500000.0,8.19999981,77392,1,3.0
21,The Wizard of Oz,1939,USA,102,English,Passed,22202612.0,2800000.0,8.10000038,291875,1,3.0
22,Boom Town,1940,USA,119,English,Passed,0.0,1614000.0,7.0999999,2269,1,3.0
23,Fantasia,1940,USA,120,English,G,76400000.0,2280000.0,7.80000019,71321,1,2.0
24,Pinocchio,1940,USA,88,English,Approved,84300000.0,2600000.0,7.5,90360,1,3.0
25,Rebecca,1940,USA,130,English,Not Rated,0.0,1288000.0,8.19999981,87424,1,3.0
26,The Blue Bird,1940,USA,83,English,Approved,0.0,0.0,6.5,1047,0,3.0
27,How Green Was My Valley,1941,USA,118,English,Approved,0.0,1250000.0,7.80000019,15840,1,3.0
28,Bambi,1942,USA,70,English,Approved,102797150.0,0.0,7.4000001,94225,1,3.0
29,Casablanca,1942,USA,82,English,PG,0.0,950000.0,8.60000038,387508,1,3.0
30,A Guy Named Joe,1943,USA,122,English,Passed,0.0,2627000.0,7.0,1553,1,3.0
31,Bathing Beauty,1944,USA,101,English,Passed,0.0,2361000.0,6.5,1079,0,3.0
32,Spellbound,1945,USA,95,English,Unrated,0.0,1696377.0,7.5999999,32927,1,3.0
33,State Fair,1945,USA,100,English,Approved,0.0,0.0,7.0999999,2756,1,3.0
34,The Lost Weekend,1945,USA,101,English,Not Rated,0.0,1250000.0,8.0,24959,1,3.0
35,The Valley of Decision,1945,USA,119,English,Passed,0.0,2160000.0,7.5,1314,1,3.0
36,Duel in the Sun,1946,USA,144,English,Unrated,20400000.0,8000000.0,6.9000001,6304,0,3.0
37,It's a Wonderful Life,1946,USA,118,English,PG,0.0,3180000.0,8.60000038,275720,1,3.0
38,The Best Years of Our Lives,1946,USA,172,English,Not Rated,23650000.0,2100000.0,8.10000038,40359,1,3.0
39,Gentleman's Agreement,1947,USA,118,English,Approved,0.0,2000000.0,7.4000001,10791,1,3.0
40,The Lady from Shanghai,1947,USA,92,English,Not Rated,7927.0,2300000.0,7.69999981,19236,1,3.0
41,Tycoon,1947,USA,95,English,Approved,0.0,3209000.0,6.19999981,989,0,3.0
42,Open Secret,1948,USA,68,English,Approved,0.0,0.0,7.0999999,67,1,3.0
43,Red River,1948,USA,126,English,Approved,0.0,3000000.0,7.80000019,21316,1,3.0
44,The Pirate,1948,USA,102,English,Approved,2956000.0,3700000.0,7.0999999,3258,1,3.0
45,Sands of Iwo Jima,1949,USA,109,English,Approved,0.0,1000000.0,7.19999981,7346,1,3.0
46,She Wore a Yellow Ribbon,1949,USA,103,English,Unrated,0.0,1600000.0,7.4000001,11920,1,3.0
47,Annie Get Your Gun,1950,USA,107,English,Passed,8000000.0,3768785.0,7.0,3167,1,3.0
